date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:02	0/0	---M--	200	added ('OK')	text/html	etag:%220-5ec15da5-44fe85d2299a4f7e;;;%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(2)	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/saved_resource(2)	(from https://reclama.cc/es/)
15:31:02	4873/4873	---M-Z	200	added ('OK')	text/html	etag:%221309-5ec15da5-241a7a005460c4d9;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/kitten.html	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/kitten.html	(from https://reclama.cc/es/)
15:31:02	416/416	---M-Z	200	added ('OK')	text/html	etag:%221a0-5ec15da5-8e41ba44d649bf63;gz%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/rt=ifr.html	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/rt=ifr.html	(from https://reclama.cc/es/)
15:31:03	86929/86929	---M-Z	200	added ('OK')	text/plain	etag:%2215391-5ec15da5-20e8b80c5fa4cf87;gz%22	https://reclama.cc/es/wattspart_files/jquery.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/jquery.min.js.download	(from https://reclama.cc/es/wattspart.html)
15:31:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/wattspart_files/cssaa28aa28.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/cssaa28aa28.css	(from https://reclama.cc/es/wattspart.html)
15:31:03	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/wattspart_files/icone91fe91f.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/icone91fe91f.css	(from https://reclama.cc/es/wattspart.html)
15:31:03	141842/141842	---M-Z	200	added ('OK')	text/css	etag:%2222a12-5ec15da5-f17314b5daed48c7;gz%22	https://reclama.cc/es/wattspart_files/materialize.min.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/materialize.min.css	(from https://reclama.cc/es/wattspart.html)
15:31:04	181114/181114	---M-Z	200	added ('OK')	text/plain	etag:%222c37a-5ec15da5-50d16e701f8c694a;gz%22	https://reclama.cc/es/wattspart_files/materialize.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/materialize.min.js.download	(from https://reclama.cc/es/wattspart.html)
15:31:04	17602/17602	---M-Z	200	added ('OK')	text/html	etag:%2244c2-5ececb36-a62960e16d1b8e0e;gz%22	https://reclama.cc/es/subpart.html	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart.html	(from https://reclama.cc/es/wattspart.html)
15:31:04	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/wattspart_files/s.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/wattspart_files/s.js.download	(from https://reclama.cc/es/wattspart.html)
15:31:05	35/35	---M--	200	added ('OK')	text/html	etag:%2223-5ec15da5-d5ad690475d9a704;;;%22	https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/f54912a450ab14a413d3e0e8e9e07157	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/f54912a450ab14a413d3e0e8e9e07157.html	(from https://reclama.cc/es/Gerador%20de%20Recompensas%20no%20Free%20Fire_files/rt=ifr.html)
15:31:05	86929/86929	---M-Z	200	added ('OK')	text/plain	etag:%2215391-5ec15da5-bdf1fde827798dc4;gz%22	https://reclama.cc/es/subpart_files/jquery.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/jquery.min.js.download	(from https://reclama.cc/es/subpart.html)
15:31:05	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/subpart_files/cssaa28aa28.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/cssaa28aa28.css	(from https://reclama.cc/es/subpart.html)
15:31:05	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/subpart_files/icone91fe91f.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/icone91fe91f.css	(from https://reclama.cc/es/subpart.html)
15:31:06	141842/141842	---M-Z	200	added ('OK')	text/css	etag:%2222a12-5ec15da5-5fcbfed379c60621;gz%22	https://reclama.cc/es/subpart_files/materialize.min.css	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/materialize.min.css	(from https://reclama.cc/es/subpart.html)
15:31:06	181114/181114	---M-Z	200	added ('OK')	text/plain	etag:%222c37a-5ec15da5-e7620da219eb8850;gz%22	https://reclama.cc/es/subpart_files/materialize.min.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/materialize.min.js.download	(from https://reclama.cc/es/subpart.html)
15:31:06	10234/10234	---M--	200	added ('OK')	image/png	etag:%2227fa-5ec15da5-50ee4e7a0c75b813;;;%22	https://reclama.cc/es/subpart_files/sub.png	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/sub.png	(from https://reclama.cc/es/subpart.html)
15:31:06	46035/46035	---M--	200	added ('OK')	image/png	etag:%22b3d3-5ec15da5-2609ced00b563f98;;;%22	https://reclama.cc/es/subpart_files/sino.png	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/sino.png	(from https://reclama.cc/es/subpart.html)
15:31:07	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5d11c814-2ddf9a14c8dc1c54;gz%22	https://reclama.cc/es/subpart_files/s.js.download	C:/Mis%20lugares%20Web/FARM/reclama.cc/es/subpart_files/s.js.download	(from https://reclama.cc/es/subpart.html)
